Screen index,Type of item,Question,Answer options,Answer
3,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to protect <b1>your location information</b1>:<hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=zwei-drei.png'>
4,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to <b1>protect your location information</b1>s: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=eins-drei.png'>
5,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Google Protect</b1> to <b1>protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=drei-drei.png'>
6,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to <b1>protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=fuenf-eins.png'>
7,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to protect your location information</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=vier-eins.png'>
8,QuestionnaireItemDefinedOne,Please select the option most closely reflects <b1>how much you are willing to pay on a monthly basis for Apple Protect</b1> to <b1>protect your location information:</b1> <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=sechs-eins.png'>
9,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Google</b1>: <hr>,"<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=acht-drei.png'>
11,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Google:</b1>  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=neun-eins.png'>
12,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Apple</b1>:  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=elf-drei.png'>
13,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for  <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to  <b1>Apple </b1>:  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=zehn-drei.png'>
14,QuestionnaireItemDefinedOne,Please select the option which most closely reflects for <b1>how much money you are wiling to sell your location types on a monthly basis</b1> to <b1>Apple</b1>:  ,"<img src='https://loctrace.pythonanywhere.com/get_image?image=zwoelf-eins.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwoelf-zwei.png'>,<img src='https://loctrace.pythonanywhere.com/get_image?image=zwoelf-drei.png'>",<img src='https://loctrace.pythonanywhere.com/get_image?image=zwoelf-drei.png'>
15,QuestionnaireItemDefinedOne,<b1>I would never accept money in exchange for my data from...</b1><hr>,"Google,Apple,Any other application or service",Any other application or service
15,QuestionnaireItemDefinedOne,<b1>I would sell my data if the price is right to...</b1><hr>,"Google,Apple,Any other application or service",Any other application or service
15,QuestionnaireItemDefinedOne,<b1>I would never accept money in exchange for the following locations/data</b1>…<hr>,"Home Location,Work Location,All location data,All location data<br> and<br> aggregated information,None of the above",All location data<br> and<br> aggregated information
15,QuestionnaireItemDefinedOne,<b1>I would sell the following location types to any data requestor if the price is right...</b1><hr>,"Home Location,Work Location,All location data,All location data<br> and <br>aggregated information,None of the above",Home Location
16,QuestionnaireItemDefinedOne,<b1>I would never pay for the protection of my data for...</b1><hr>,"Google,Apple,Any other application or service",Any other application or service
16,QuestionnaireItemDefinedOne,<b1>I would never pay for the protection of the following location types/data </b1><hr>,"Home Location,Work Location,All location data,All location data<br> and<br> aggregated information,None of the options",None of the options
17,QuestionnaireItemDefinedOne,"<b1>Consumer online privacy is really a matter of consumers’ right to exercise control and autonomy over decisions about how their information is collected, used, and shared.</b1<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>Consumer control of personal information lies at the heart of consumer privacy.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Somewhat<br> Agree
17,QuestionnaireItemDefinedOne,<b1>I believe that online privacy is invaded when control is lost or unwillingly reduced as a result of a marketing transaction.</b1><hr>,"Strongly Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Somewhat<br> Agree
17,QuestionnaireItemDefinedOne,"<b1>Companies seeking information online should disclose the way the data are collected, processed, and used.</b1><hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>A good consumer online privacy policy should have a clear and conspicuous disclosure.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>It is very important to me that I am aware and knowledgeable about how my personal information will be used.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>It usually bothers me when online companies ask me for personal information.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly Agree",Agree
17,QuestionnaireItemDefinedOne,"<b1>When online companies ask me for personal information, I sometimes think twice before providing it.</b1><hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>It bothers me to give personal information to so many online companies.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Strongly<br> Agree
17,QuestionnaireItemDefinedOne,<b1>I’m concerned that online companies are collecting too much personal information about me.</b1><hr>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Somewhat<br> Agree
17,QuestionnaireItemDefinedOne,<b1>When you’re responding to the questions in the questionnaire it is important that you’re paying attention. Please agree by selecting the second option from the left on the scale.</b1>,"Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree",Disagree
18,QuestionnaireItemDefinedOne,"<b1>How many times a day on average do you use Apple services, i.e. Safari, Mail, Calendar, Reminder, Apple Music, Map, etc.?</b1> ","Less than 1 hour per day,1-2 hours per day,2-3 hours per day,More than 4 hours per day",More than 4 hours per day
18,QuestionnaireItemDefinedOne,"<b1>How many times a day on average do you use Google services, i.e. Chrome, Google Maps, Google Calendar, Google Drive, Gmail etc.?</b1>","Less than 1 hour per day,1-2 hours per day,2-3 hours per day,More than 4 hours per day",Less than 1 hour per day
18,QuestionnaireItemDefinedMulti,Which of the following services do you use to share your location data?<hr> ,"Facebook,Whatsapp,TikTok,Twitter,Instagram,Telegram,Maps,Find my Phone,Other,I don`t share my location data","[""Find my Phone"",""Maps"",""Whatsapp""]",,
19,QuestionnaireItemDefinedOne,What gender do you identify as?<br>,"Male,Female,Prefer not to say",Prefer not to say
19,QuestionnaireItemDefinedOne,What is your age?<br>,"18 - 25 years old,26 - 30 years old,31 - 40 years old,41 – 50 years old,51 - 60 years old,Above,Prefer not to answer",18 - 25 years old
19,QuestionnaireItemDefinedOne,Where is your home located?<br>,"True,False,Dont know",True
19,QuestionnaireItemDefinedOne,What is the highest degree or level of education you have completed?<br>,"No degree,Secondary School Diploma  ,High School Diploma,Bachelor's Degree,Master's Degree,Ph.D. or higher,Apprenticeship / professional training,Prefer not to say",High School Diploma
19,QuestionnaireItemDefinedOne,What is your annual household income?<br>,"Less than 20,000€,20.000-34.999€, 35.000-49.999€,50.000-74.999€,75.000-99.999€,Over 100.000€,Prefer not to say",20.000-34.999€
